System_Timestamp_UTC,RaspberryPiName,Sensor_ID,Temperature_C,Humidity_RH,GPS_Timestamp_UTC,Latitude,Longitude,Altitude_m,Speed_mps,Climb_mps,Track_deg,Satellites,GPS_Fix_Type,datetime,geometry
2025-08-18 23:20:46 UTC,sensor00,236492955,26.62,89.02,2025-08-18 23:20:45+00:00,34.000718,-81.01533,73.7,2.5,-0.8,269.18,8.0,3D,2025-08-18 19:20:45-04:00,POINT (-81.01533 34.000718)
2025-08-18 23:20:51 UTC,sensor00,236492955,26.58,88.46,2025-08-18 23:20:45+00:00,34.000718,-81.01533,73.7,2.5,-0.8,269.18,8.0,3D,2025-08-18 19:20:45-04:00,POINT (-81.01533 34.000718)
2025-08-18 23:20:56 UTC,sensor00,236492955,26.6,87.5,2025-08-18 23:20:56+00:00,34.00061,-81.015685,67.2,4.0,-0.4,247.58,8.0,3D,2025-08-18 19:20:56-04:00,POINT (-81.015685 34.00061)
2025-08-18 23:21:42 UTC,sensor00,236492955,26.74,87.06,2025-08-18 23:21:42+00:00,34.000405,-81.01636,71.5,2.95,0.1,0.0,8.0,3D,2025-08-18 19:21:42-04:00,POINT (-81.01636 34.000405)
2025-08-18 23:21:47 UTC,sensor00,236492955,26.82,86.23,2025-08-18 23:21:42+00:00,34.000405,-81.01636,71.5,3.08,0.1,271.46,8.0,3D,2025-08-18 19:21:42-04:00,POINT (-81.01636 34.000405)
2025-08-18 23:21:52 UTC,sensor00,236492955,27.07,85.46,2025-08-18 23:21:52+00:00,34.000282,-81.01689,71.4,5.32,-0.01,247.3,8.0,3D,2025-08-18 19:21:52-04:00,POINT (-81.01689 34.000282)
2025-08-18 23:21:57 UTC,sensor00,236492955,27.17,84.39,2025-08-18 23:21:57+00:00,34.000183,-81.017185,72.2,5.84,0.2,238.4,8.0,3D,2025-08-18 19:21:57-04:00,POINT (-81.017185 34.000183)
2025-08-18 23:22:02 UTC,sensor00,236492955,27.28,84.42,2025-08-18 23:22:02+00:00,34.000097,-81.01745,74.2,5.21,0.5,234.29,8.0,3D,2025-08-18 19:22:02-04:00,POINT (-81.01745 34.000097)
2025-08-18 23:22:07 UTC,sensor00,236492955,27.38,84.46,2025-08-18 23:22:07+00:00,34.00001,-81.017678,77.3,4.86,0.7,233.93,8.0,3D,2025-08-18 19:22:07-04:00,POINT (-81.017678 34.00001)
2025-08-18 23:22:12 UTC,sensor00,236492955,27.33,83.59,2025-08-18 23:22:12+00:00,33.999943,-81.017862,81.2,4.3,0.9,233.34,8.0,3D,2025-08-18 19:22:12-04:00,POINT (-81.017862 33.999943)
2025-08-18 23:22:18 UTC,sensor00,236492955,27.3,83.88,2025-08-18 23:22:17+00:00,33.999887,-81.01806,85.8,3.68,1.0,238.11,8.0,3D,2025-08-18 19:22:17-04:00,POINT (-81.01806 33.999887)
2025-08-18 23:22:23 UTC,sensor00,236492955,27.15,84.83,2025-08-18 23:22:22+00:00,33.999835,-81.018255,89.2,3.83,0.8,244.76,8.0,3D,2025-08-18 19:22:22-04:00,POINT (-81.018255 33.999835)
2025-08-18 23:22:28 UTC,sensor00,236492955,27.1,85.3,2025-08-18 23:22:22+00:00,33.999835,-81.018255,89.2,3.83,0.8,244.76,8.0,3D,2025-08-18 19:22:22-04:00,POINT (-81.018255 33.999835)
2025-08-18 23:22:38 UTC,sensor00,236492955,26.79,87.09,2025-08-18 23:22:34+00:00,33.999747,-81.018637,99.2,2.37,0.5,268.93,8.0,3D,2025-08-18 19:22:34-04:00,POINT (-81.018637 33.999747)
2025-08-18 23:22:43 UTC,sensor00,236492955,26.66,87.23,2025-08-18 23:22:34+00:00,33.999747,-81.018637,99.2,2.37,0.5,268.93,8.0,3D,2025-08-18 19:22:34-04:00,POINT (-81.018637 33.999747)
2025-08-18 23:22:48 UTC,sensor00,236492955,26.54,88.08,2025-08-18 23:22:48+00:00,34.000105,-81.018787,106.2,2.52,0.6,0.0,8.0,3D,2025-08-18 19:22:48-04:00,POINT (-81.018787 34.000105)
2025-08-18 23:22:53 UTC,sensor00,236492955,26.43,88.14,2025-08-18 23:22:53+00:00,34.000235,-81.018872,109.9,2.75,0.9,0.0,4.0,3D,2025-08-18 19:22:53-04:00,POINT (-81.018872 34.000235)
2025-08-18 23:22:58 UTC,sensor00,236492955,26.36,88.28,2025-08-18 23:22:53+00:00,34.000235,-81.018872,109.9,2.51,0.9,334.42,8.0,3D,2025-08-18 19:22:53-04:00,POINT (-81.018872 34.000235)
2025-08-18 23:23:03 UTC,sensor00,236492955,26.32,89.25,2025-08-18 23:23:03+00:00,34.000508,-81.018992,117.6,2.72,0.9,342.2,8.0,3D,2025-08-18 19:23:03-04:00,POINT (-81.018992 34.000508)
2025-08-18 23:23:08 UTC,sensor00,236492955,26.31,89.56,2025-08-18 23:23:08+00:00,34.00068,-81.019038,120.4,3.33,0.7,355.21,8.0,3D,2025-08-18 19:23:08-04:00,POINT (-81.019038 34.00068)
2025-08-18 23:23:13 UTC,sensor00,236492955,26.17,89.33,2025-08-18 23:23:13+00:00,34.000827,-81.019103,124.5,2.94,0.8,333.45,8.0,3D,2025-08-18 19:23:13-04:00,POINT (-81.019103 34.000827)
2025-08-18 23:23:34 UTC,sensor00,236492955,26.07,91.43,2025-08-18 23:23:33+00:00,34.000797,-81.019747,136.5,2.99,0.6,238.37,8.0,3D,2025-08-18 19:23:33-04:00,POINT (-81.019747 34.000797)
2025-08-18 23:23:49 UTC,sensor00,236492955,26.02,90.32,2025-08-18 23:23:45+00:00,34.000692,-81.020158,143.7,3.36,0.6,0.0,10.0,3D,2025-08-18 19:23:45-04:00,POINT (-81.020158 34.000692)
2025-08-18 23:23:59 UTC,sensor00,236492955,26.04,90.56,2025-08-18 23:23:59+00:00,34.000732,-81.020657,152.5,3.37,0.9,238.03,9.0,3D,2025-08-18 19:23:59-04:00,POINT (-81.020657 34.000732)
2025-08-18 23:24:04 UTC,sensor00,236492955,25.96,91.01,2025-08-18 23:24:04+00:00,34.000662,-81.020797,154.9,2.93,0.7,228.5,9.0,3D,2025-08-18 19:24:04-04:00,POINT (-81.020797 34.000662)
2025-08-18 23:24:09 UTC,sensor00,236492955,26.0,91.81,2025-08-18 23:24:09+00:00,34.0006,-81.020933,157.0,2.92,0.4,232.25,9.0,3D,2025-08-18 19:24:09-04:00,POINT (-81.020933 34.0006)
2025-08-18 23:24:14 UTC,sensor00,236492955,25.97,91.24,2025-08-18 23:24:14+00:00,34.000573,-81.021067,159.4,2.33,0.5,235.91,9.0,3D,2025-08-18 19:24:14-04:00,POINT (-81.021067 34.000573)
2025-08-18 23:24:19 UTC,sensor00,236492955,25.94,91.27,2025-08-18 23:24:19+00:00,34.0006,-81.021267,162.1,2.89,0.6,281.59,9.0,3D,2025-08-18 19:24:19-04:00,POINT (-81.021267 34.0006)
2025-08-18 23:24:25 UTC,sensor00,236492955,25.96,91.72,2025-08-18 23:24:24+00:00,34.000605,-81.021458,165.0,3.24,0.5,280.61,9.0,3D,2025-08-18 19:24:24-04:00,POINT (-81.021458 34.000605)
2025-08-18 23:24:30 UTC,sensor00,236492955,25.97,91.43,2025-08-18 23:24:29+00:00,34.000603,-81.021635,167.8,2.79,0.0,275.9,9.0,3D,2025-08-18 19:24:29-04:00,POINT (-81.021635 34.000603)
2025-08-18 23:24:35 UTC,sensor00,236492955,25.96,91.17,2025-08-18 23:24:34+00:00,34.000555,-81.021832,169.8,3.33,0.5,253.8,9.0,3D,2025-08-18 19:24:34-04:00,POINT (-81.021832 34.000555)
2025-08-18 23:24:45 UTC,sensor00,236492955,26.05,90.6,2025-08-18 23:24:45+00:00,34.00045,-81.022093,171.8,3.03,0.3,0.0,9.0,3D,2025-08-18 19:24:45-04:00,POINT (-81.022093 34.00045)
2025-08-18 23:24:55 UTC,sensor00,236492955,26.06,90.35,2025-08-18 23:24:55+00:00,34.000115,-81.022145,169.4,4.62,-0.3,217.24,9.0,3D,2025-08-18 19:24:55-04:00,POINT (-81.022145 34.000115)
