System_Timestamp_UTC,RaspberryPiName,Sensor_ID,Temperature_C,Humidity_RH,GPS_Timestamp_UTC,Latitude,Longitude,Altitude_m,Speed_mps,Climb_mps,Track_deg,Satellites,GPS_Fix_Type,datetime,geometry
2025-09-23 21:04:44 UTC,sensor03,218187713,32.47,46.07,2025-09-24 18:55:20+00:00,33.986947,-81.006667,86.6,8.4,0.0,254.81,11.0,3D,2025-09-24 14:55:20-04:00,POINT (-81.006667 33.986947)
2025-09-23 21:04:49 UTC,sensor03,218187713,32.66,46.62,2025-09-24 18:55:26+00:00,33.986833,-81.007215,86.5,7.58,-0.1,0.0,11.0,3D,2025-09-24 14:55:26-04:00,POINT (-81.007215 33.986833)
2025-09-23 21:04:54 UTC,sensor03,218187713,32.61,46.37,2025-09-24 18:55:31+00:00,33.986958,-81.007517,86.0,6.41,0.0,0.0,11.0,3D,2025-09-24 14:55:31-04:00,POINT (-81.007517 33.986958)
2025-09-23 21:05:00 UTC,sensor03,218187713,32.99,45.88,2025-09-24 18:55:36+00:00,33.987203,-81.00782,87.1,7.62,0.3,316.31,11.0,3D,2025-09-24 14:55:36-04:00,POINT (-81.00782 33.987203)
2025-09-23 21:05:05 UTC,sensor03,218187713,32.39,47.18,2025-09-24 18:55:40+00:00,33.9874,-81.008073,88.1,7.97,0.1,316.79,11.0,3D,2025-09-24 14:55:40-04:00,POINT (-81.008073 33.9874)
2025-09-23 21:05:10 UTC,sensor03,218187713,32.4,47.63,2025-09-24 18:55:44+00:00,33.98763,-81.008307,84.8,8.08,0.0,316.19,11.0,3D,2025-09-24 14:55:44-04:00,POINT (-81.008307 33.98763)
2025-09-23 21:05:15 UTC,sensor03,218187713,32.52,47.58,2025-09-24 18:55:51+00:00,33.987975,-81.008753,87.9,8.6,2.4,315.35,11.0,3D,2025-09-24 14:55:51-04:00,POINT (-81.008753 33.987975)
2025-09-23 21:05:20 UTC,sensor03,218187713,32.38,47.98,2025-09-24 18:55:56+00:00,33.988238,-81.009067,88.9,7.95,0.0,314.93,11.0,3D,2025-09-24 14:55:56-04:00,POINT (-81.009067 33.988238)
2025-09-23 21:05:25 UTC,sensor03,218187713,32.34,48.61,2025-09-24 18:56:01+00:00,33.98846,-81.00933,88.7,5.38,-0.5,313.73,11.0,3D,2025-09-24 14:56:01-04:00,POINT (-81.00933 33.98846)
2025-09-23 21:05:35 UTC,sensor03,218187713,32.62,46.84,2025-09-24 18:56:11+00:00,33.988628,-81.009505,85.8,3.45,-0.2,311.83,11.0,3D,2025-09-24 14:56:11-04:00,POINT (-81.009505 33.988628)
2025-09-23 21:05:40 UTC,sensor03,218187713,32.44,46.95,2025-09-24 18:56:16+00:00,33.988835,-81.00979,84.9,7.44,0.1,313.54,11.0,3D,2025-09-24 14:56:16-04:00,POINT (-81.00979 33.988835)
2025-09-23 21:05:45 UTC,sensor03,218187713,32.52,46.67,2025-09-24 18:56:22+00:00,33.98916,-81.010173,84.3,8.24,-0.1,0.0,11.0,3D,2025-09-24 14:56:22-04:00,POINT (-81.010173 33.98916)
2025-09-23 21:05:51 UTC,sensor03,218187713,32.72,47.11,2025-09-24 18:56:27+00:00,33.989452,-81.010497,83.8,9.38,-0.1,0.0,4.0,3D,2025-09-24 14:56:27-04:00,POINT (-81.010497 33.989452)
2025-09-23 21:05:56 UTC,sensor03,218187713,32.52,46.48,2025-09-24 18:56:32+00:00,33.989715,-81.0107,83.5,4.87,0.1,0.0,8.0,3D,2025-09-24 14:56:32-04:00,POINT (-81.0107 33.989715)
2025-09-23 21:06:01 UTC,sensor03,218187713,32.43,46.35,2025-09-24 18:56:37+00:00,33.98995,-81.010478,84.3,6.08,0.3,0.0,11.0,3D,2025-09-24 14:56:37-04:00,POINT (-81.010478 33.98995)
